graph_type,nodes,edges,greatest_time,strongly_connected,path_length
data/wico-graph/Other_Graphs/,82,234,77433,43,2
data/wico-graph/Other_Graphs/,60,176,3195179,35,0
data/wico-graph/Other_Graphs/,68,156,539138,34,2
data/wico-graph/Other_Graphs/,46,49,164903,41,0
data/wico-graph/Other_Graphs/,50,96,148657,29,1
data/wico-graph/Other_Graphs/,96,232,1971981,50,0
data/wico-graph/Other_Graphs/,96,223,24881930,46,2
data/wico-graph/Other_Graphs/,14,83,67689,2,2
data/wico-graph/Other_Graphs/,27,57,198759,14,0
data/wico-graph/Other_Graphs/,7,14,10995334,3,1
data/wico-graph/Other_Graphs/,96,501,377478,17,2
data/wico-graph/Other_Graphs/,59,281,2947753,18,1
data/wico-graph/Other_Graphs/,18,33,413761,9,1
data/wico-graph/Other_Graphs/,86,92,11433180,81,0
data/wico-graph/Other_Graphs/,58,409,20395,2,2
data/wico-graph/Other_Graphs/,62,215,12503603,28,1
data/wico-graph/Other_Graphs/,81,85,4961851,63,0
data/wico-graph/Other_Graphs/,91,145,7693664,71,1
data/wico-graph/Other_Graphs/,97,281,1230616,45,1
data/wico-graph/Other_Graphs/,91,138,2615347,57,1
data/wico-graph/Other_Graphs/,23,20,18000,17,1
data/wico-graph/Other_Graphs/,44,78,186893,29,2
data/wico-graph/Other_Graphs/,82,79,327392,82,1
data/wico-graph/Other_Graphs/,28,47,44606,16,1
data/wico-graph/Other_Graphs/,55,45,3283786,40,0
data/wico-graph/Other_Graphs/,26,62,40700197,8,1
data/wico-graph/Other_Graphs/,19,25,144045,12,2
data/wico-graph/Other_Graphs/,24,41,155028,16,1
data/wico-graph/Other_Graphs/,66,282,82661,6,0
data/wico-graph/Other_Graphs/,85,127,951157,56,1
data/wico-graph/Other_Graphs/,88,274,10333700,35,0
data/wico-graph/Other_Graphs/,95,53,10723925,85,0
data/wico-graph/Other_Graphs/,36,48,414357,27,2
data/wico-graph/Other_Graphs/,96,334,368801,28,1
data/wico-graph/Other_Graphs/,4,4,90987,2,0
data/wico-graph/Other_Graphs/,22,28,82797,12,0
data/wico-graph/Other_Graphs/,16,8,618593,15,0
data/wico-graph/Other_Graphs/,22,19,109663,18,1
data/wico-graph/Other_Graphs/,93,46,7518219,88,0
data/wico-graph/Other_Graphs/,93,215,114914,38,0
data/wico-graph/Other_Graphs/,94,233,5657517,20,2
data/wico-graph/Other_Graphs/,93,14,7216209,88,0
data/wico-graph/Other_Graphs/,92,539,4697581,24,3
data/wico-graph/Other_Graphs/,96,126,160153,67,0
data/wico-graph/Other_Graphs/,69,119,178267,59,0
data/wico-graph/Other_Graphs/,31,69,1354185,13,0
data/wico-graph/Other_Graphs/,45,39,165394,44,0
data/wico-graph/Other_Graphs/,96,292,136106,35,1
data/wico-graph/Other_Graphs/,92,179,6783621,40,0
data/wico-graph/Other_Graphs/,15,42,40375,6,1
data/wico-graph/Other_Graphs/,93,87,2695494,90,1
data/wico-graph/Other_Graphs/,95,112,528411,80,1
data/wico-graph/Other_Graphs/,96,282,1433961,40,1
data/wico-graph/Other_Graphs/,50,105,1047009,31,1
data/wico-graph/Other_Graphs/,91,138,244196420,68,1
data/wico-graph/Other_Graphs/,99,472,3010710,31,2
data/wico-graph/Other_Graphs/,98,122,67313,78,1
data/wico-graph/Other_Graphs/,92,153,68539602,52,0
data/wico-graph/Other_Graphs/,93,95,11299729,85,0
data/wico-graph/Other_Graphs/,89,110,4408993,53,0
data/wico-graph/Other_Graphs/,64,61,42637,57,1
data/wico-graph/Other_Graphs/,95,114,1057804,71,0
data/wico-graph/Other_Graphs/,24,48,700362,13,1
data/wico-graph/Other_Graphs/,99,557,745923,18,2
data/wico-graph/Other_Graphs/,95,116,460099,74,0
data/wico-graph/Other_Graphs/,94,537,10049684,24,0
data/wico-graph/Other_Graphs/,41,106,84105,4,1
data/wico-graph/Other_Graphs/,91,8,5591161,87,0
data/wico-graph/Other_Graphs/,27,149,17422,1,1
data/wico-graph/Other_Graphs/,95,91,2247069,89,1
data/wico-graph/Other_Graphs/,32,64,510364,18,1
data/wico-graph/Other_Graphs/,27,81,2768776,11,0
data/wico-graph/Other_Graphs/,91,157,635657,52,0
data/wico-graph/Other_Graphs/,37,95,54448,10,3
data/wico-graph/Other_Graphs/,17,15,204809,13,2
data/wico-graph/Other_Graphs/,94,181,432395,56,1
data/wico-graph/Other_Graphs/,90,95,1240637,88,1
data/wico-graph/Other_Graphs/,99,116,88758,82,1
data/wico-graph/Other_Graphs/,100,467,799906,22,1
data/wico-graph/Other_Graphs/,94,247,12887048,41,0
data/wico-graph/Other_Graphs/,94,170,1516952,59,2
data/wico-graph/Other_Graphs/,3,2,12344640,3,1
data/wico-graph/Other_Graphs/,98,945,538373,17,0
data/wico-graph/Other_Graphs/,86,300,151199,40,1
data/wico-graph/Other_Graphs/,95,107,2439402,89,1
data/wico-graph/Other_Graphs/,91,119,221660,72,1
data/wico-graph/Other_Graphs/,95,358,815192,58,1
data/wico-graph/Other_Graphs/,27,26,153147,18,0
data/wico-graph/Other_Graphs/,35,72,3030303,17,0
data/wico-graph/Other_Graphs/,94,299,1214846,39,1
data/wico-graph/Other_Graphs/,22,137,6623419,3,2
data/wico-graph/Other_Graphs/,95,407,230385,17,2
data/wico-graph/Other_Graphs/,94,179,4306913,61,1
data/wico-graph/Other_Graphs/,94,369,1123381,33,1
data/wico-graph/Other_Graphs/,5,4,85662,4,3
data/wico-graph/Other_Graphs/,12,43,86980,1,1
data/wico-graph/Other_Graphs/,12,19,289613,8,2
data/wico-graph/Other_Graphs/,94,226,7622298,44,0
data/wico-graph/Other_Graphs/,90,130,7672218,55,2
data/wico-graph/Other_Graphs/,94,149,6814454,62,0
data/wico-graph/Other_Graphs/,21,52,157919,11,2
data/wico-graph/Other_Graphs/,95,399,398182,29,1
data/wico-graph/Other_Graphs/,23,66,309923,3,1
data/wico-graph/Other_Graphs/,87,262,833228,35,2
data/wico-graph/Other_Graphs/,93,463,3760598,32,0
data/wico-graph/Other_Graphs/,93,410,737980,17,3
data/wico-graph/Other_Graphs/,6,8,29175,3,1
data/wico-graph/Other_Graphs/,39,159,24381835,6,1
data/wico-graph/Other_Graphs/,15,14,49430,15,0
data/wico-graph/Other_Graphs/,90,196,780559,39,0
data/wico-graph/Other_Graphs/,97,141,1322245,74,0
data/wico-graph/Other_Graphs/,18,25,79287,12,1
data/wico-graph/Other_Graphs/,90,213,2098828,33,1
data/wico-graph/Other_Graphs/,95,203,11260931,57,2
data/wico-graph/Other_Graphs/,39,170,72814,9,3
data/wico-graph/Other_Graphs/,19,37,6999695,4,4
data/wico-graph/Other_Graphs/,7,7,1899547,4,0
data/wico-graph/Other_Graphs/,97,404,9293627,39,1
data/wico-graph/Other_Graphs/,29,71,155695,12,2
data/wico-graph/Other_Graphs/,96,541,1155055,23,1
data/wico-graph/Other_Graphs/,85,97,10793064,50,0
data/wico-graph/Other_Graphs/,85,73,10824228,71,0
data/wico-graph/Other_Graphs/,53,57,803836,43,0
data/wico-graph/Other_Graphs/,10,10,619519,7,0
data/wico-graph/Other_Graphs/,96,98,1780898,86,0
data/wico-graph/Other_Graphs/,88,114,650418,64,0
data/wico-graph/Other_Graphs/,90,388,49077912,24,1
data/wico-graph/Other_Graphs/,29,124,1579183,7,0
data/wico-graph/Other_Graphs/,47,172,720898,14,2
data/wico-graph/Other_Graphs/,95,21,10503454,90,0
data/wico-graph/Other_Graphs/,45,13,100857,40,0
data/wico-graph/Other_Graphs/,25,151,27479,6,1
data/wico-graph/Other_Graphs/,48,66,92115,34,1
data/wico-graph/Other_Graphs/,15,21,33457898,10,1
data/wico-graph/Other_Graphs/,49,45,856192,46,1
data/wico-graph/Other_Graphs/,89,27,1568618,78,0
data/wico-graph/Other_Graphs/,95,102,1172646,58,0
data/wico-graph/Other_Graphs/,97,495,345915,23,0
data/wico-graph/Other_Graphs/,93,576,32403919,15,1
data/wico-graph/Other_Graphs/,31,66,15118168,8,1
data/wico-graph/Other_Graphs/,98,164,1349183,46,1
data/wico-graph/Other_Graphs/,61,341,101267,12,1
data/wico-graph/Other_Graphs/,96,16,11277161,90,0
data/wico-graph/Other_Graphs/,88,74,3159219,66,1
data/wico-graph/Other_Graphs/,12,4,3387918,11,0
data/wico-graph/Other_Graphs/,95,61,4761716,94,0
data/wico-graph/Other_Graphs/,93,237,9115590,55,1
data/wico-graph/Other_Graphs/,10,18,30732428,7,1
data/wico-graph/Other_Graphs/,6,6,8895877,4,1
data/wico-graph/Other_Graphs/,35,71,481956,11,0
data/wico-graph/Other_Graphs/,98,269,2091744,52,1
data/wico-graph/Other_Graphs/,34,45,25057,14,1
data/wico-graph/Other_Graphs/,32,78,47327,19,1
data/wico-graph/Other_Graphs/,9,15,45045,4,1
data/wico-graph/Other_Graphs/,7,10,326496,4,1
data/wico-graph/Other_Graphs/,93,178,1413233,66,0
data/wico-graph/Other_Graphs/,6,5,30360,6,1
data/wico-graph/Other_Graphs/,96,455,70062,17,2
data/wico-graph/Other_Graphs/,97,68,3605541,97,0
data/wico-graph/Other_Graphs/,25,61,59710,4,1
data/wico-graph/Other_Graphs/,85,270,161559,3,1
data/wico-graph/Other_Graphs/,97,540,19351003,25,1
data/wico-graph/Other_Graphs/,83,28,8238455,71,1
data/wico-graph/Other_Graphs/,93,155,10566318,70,1
data/wico-graph/Other_Graphs/,33,43,127680,28,1
data/wico-graph/Other_Graphs/,95,124,5124592,79,2
data/wico-graph/Other_Graphs/,93,190,4968250,32,0
data/wico-graph/Other_Graphs/,95,186,476058,52,0
data/wico-graph/Other_Graphs/,79,398,10754161,9,1
data/wico-graph/Other_Graphs/,88,119,368915,69,4
data/wico-graph/Other_Graphs/,36,31,3134758,35,1
data/wico-graph/Other_Graphs/,77,419,233221,9,1
data/wico-graph/Other_Graphs/,92,226,10572941,31,1
data/wico-graph/Other_Graphs/,98,122,4899463,69,0
data/wico-graph/Other_Graphs/,10,13,379208,7,0
data/wico-graph/Other_Graphs/,95,961,2294947,11,1
data/wico-graph/Other_Graphs/,15,19,78345,7,0
data/wico-graph/Other_Graphs/,89,397,869118,20,3
data/wico-graph/Other_Graphs/,94,608,276108,20,2
data/wico-graph/Other_Graphs/,96,3463,178153,3,1
data/wico-graph/Other_Graphs/,35,44,67678,29,1
data/wico-graph/Other_Graphs/,93,88,9172648,74,0
data/wico-graph/Other_Graphs/,91,145,9020851,58,0
data/wico-graph/Other_Graphs/,89,47,4905466,79,1
data/wico-graph/Other_Graphs/,92,302,910224,36,1
data/wico-graph/Other_Graphs/,90,85,299693,85,1
data/wico-graph/Other_Graphs/,82,107,244989,68,1
data/wico-graph/Other_Graphs/,16,18,8108787,12,0
data/wico-graph/Other_Graphs/,93,228,35916939,43,3
data/wico-graph/Other_Graphs/,94,164,6165010,62,1
data/wico-graph/Other_Graphs/,94,231,1206233,48,2
data/wico-graph/Other_Graphs/,8,6,19810,8,1
data/wico-graph/Other_Graphs/,44,118,550321,16,1
data/wico-graph/Other_Graphs/,97,339,9712816,40,1
data/wico-graph/Other_Graphs/,93,178,3761312,46,0
data/wico-graph/Other_Graphs/,96,308,2349625,31,2
data/wico-graph/Other_Graphs/,94,448,5808912,29,1
data/wico-graph/Other_Graphs/,98,394,3407676,24,2
data/wico-graph/Other_Graphs/,55,879,409470,6,1
data/wico-graph/Other_Graphs/,90,176,739030,50,0
data/wico-graph/Other_Graphs/,57,326,204015,11,2
data/wico-graph/Other_Graphs/,28,156,482035,5,0
data/wico-graph/Other_Graphs/,56,144,260783,21,1
data/wico-graph/Other_Graphs/,85,214,8226473,47,2
data/wico-graph/Other_Graphs/,43,51,33714,37,1
data/wico-graph/Other_Graphs/,94,182,3477412,50,1
data/wico-graph/Other_Graphs/,88,53,1237969,86,0
data/wico-graph/Other_Graphs/,57,81,453782,40,1
data/wico-graph/Other_Graphs/,88,79,1245416,87,1
data/wico-graph/Other_Graphs/,86,478,14453588,28,0
data/wico-graph/Other_Graphs/,6,10,49088,1,1
data/wico-graph/Other_Graphs/,66,257,61942099,12,2
data/wico-graph/Other_Graphs/,90,179,780650,31,1
data/wico-graph/Other_Graphs/,95,163,12358187,66,1
data/wico-graph/Other_Graphs/,82,176,6958458,52,1
data/wico-graph/Other_Graphs/,95,141,1111795,73,1
data/wico-graph/Other_Graphs/,95,121,293824,54,1
data/wico-graph/Other_Graphs/,50,32,8958507,49,0
data/wico-graph/Other_Graphs/,96,293,158053,30,2
data/wico-graph/Other_Graphs/,20,37,53295,8,2
data/wico-graph/Other_Graphs/,24,37,341087,17,0
data/wico-graph/Other_Graphs/,92,184,7983402,47,0
data/wico-graph/Other_Graphs/,90,344,64588536,35,1
data/wico-graph/Other_Graphs/,34,122,57888,9,1
data/wico-graph/Other_Graphs/,73,358,83051,4,3
data/wico-graph/Other_Graphs/,46,332,27531392,7,2
data/wico-graph/Other_Graphs/,93,310,3631095,39,1
data/wico-graph/Other_Graphs/,64,290,11456582,13,2
data/wico-graph/Other_Graphs/,30,70,22342142,13,1
data/wico-graph/Other_Graphs/,98,117,3449600,78,1
data/wico-graph/Other_Graphs/,98,166,10162944,48,0
data/wico-graph/Other_Graphs/,13,53,1279976,3,1
data/wico-graph/Other_Graphs/,86,83,577942,81,1
data/wico-graph/Other_Graphs/,93,1123,98544,6,1
data/wico-graph/Other_Graphs/,85,356,1246915,27,0
data/wico-graph/Other_Graphs/,94,98,3671436,77,1
data/wico-graph/Other_Graphs/,91,115,6632651,49,0
data/wico-graph/Other_Graphs/,38,142,423616,9,2
data/wico-graph/Other_Graphs/,66,224,500707,29,1
data/wico-graph/Other_Graphs/,30,73,211046,11,0
data/wico-graph/Other_Graphs/,90,248,11263761,45,0
data/wico-graph/Other_Graphs/,6,10,85819,1,1
data/wico-graph/Other_Graphs/,95,125,1639964,80,0
data/wico-graph/Other_Graphs/,98,64,7420554,92,0
data/wico-graph/Other_Graphs/,6,7,62110,3,2
data/wico-graph/Other_Graphs/,97,130,112207,68,2
data/wico-graph/Other_Graphs/,61,164,69996,22,1
data/wico-graph/Other_Graphs/,6,13,117404,1,2
data/wico-graph/Other_Graphs/,91,105,1438485,74,1
data/wico-graph/Other_Graphs/,19,19,200626,14,0
data/wico-graph/Other_Graphs/,99,476,429617,24,1
data/wico-graph/Other_Graphs/,90,165,2604341,63,1
data/wico-graph/Other_Graphs/,91,164,7754177,61,0
data/wico-graph/Other_Graphs/,74,523,259557,10,1
data/wico-graph/Other_Graphs/,94,30,2231916,85,0
data/wico-graph/Other_Graphs/,26,71,58125,10,3
data/wico-graph/Other_Graphs/,10,9,4909,10,1
data/wico-graph/Other_Graphs/,13,5,680539,11,0
data/wico-graph/Other_Graphs/,5,8,8921,1,2
data/wico-graph/Other_Graphs/,95,158,22834527,54,0
data/wico-graph/Other_Graphs/,18,43,29381,4,2
data/wico-graph/Other_Graphs/,15,46,119440,2,0
data/wico-graph/Other_Graphs/,95,74,6112316,88,0
data/wico-graph/Other_Graphs/,32,74,3141773,13,1
data/wico-graph/Other_Graphs/,85,13,8854727,82,0
data/wico-graph/Other_Graphs/,95,83,949194,74,0
data/wico-graph/Other_Graphs/,90,158,13734958,53,0
data/wico-graph/Other_Graphs/,11,10,23887512,10,0
data/wico-graph/Other_Graphs/,91,91,1716754,84,0
data/wico-graph/Other_Graphs/,31,92,8044680,6,1
data/wico-graph/Other_Graphs/,37,113,90655,17,2
data/wico-graph/Other_Graphs/,39,118,249333,6,0
data/wico-graph/Other_Graphs/,100,218,9316284,57,3
data/wico-graph/Other_Graphs/,98,716,348332,13,0
data/wico-graph/Other_Graphs/,99,253,3525713,51,1
data/wico-graph/Other_Graphs/,38,105,86682,6,0
data/wico-graph/Other_Graphs/,85,39,3143670,82,0
data/wico-graph/Other_Graphs/,95,192,660542,65,0
data/wico-graph/Other_Graphs/,93,416,918016,28,2
data/wico-graph/Other_Graphs/,46,110,175412,19,2
data/wico-graph/Other_Graphs/,94,175,3139170,48,0
data/wico-graph/Other_Graphs/,77,486,6835816,11,1
data/wico-graph/Other_Graphs/,19,58,36985,3,1
data/wico-graph/Other_Graphs/,94,114,508414,84,1
data/wico-graph/Other_Graphs/,73,305,49658161,15,1
data/wico-graph/Other_Graphs/,89,386,14008577,12,1
data/wico-graph/Other_Graphs/,97,301,1080366,34,0
data/wico-graph/Other_Graphs/,96,532,2704543,22,2
data/wico-graph/Other_Graphs/,43,83,586845,12,1
data/wico-graph/Other_Graphs/,96,157,163192,63,1
data/wico-graph/Other_Graphs/,89,186,4088793,60,1
data/wico-graph/Other_Graphs/,88,79,510647,61,0
data/wico-graph/Other_Graphs/,86,73,278586,81,1
data/wico-graph/Other_Graphs/,14,22,38033,6,1
data/wico-graph/Other_Graphs/,91,270,1770548,32,0
data/wico-graph/Other_Graphs/,92,110,88060,73,0
data/wico-graph/Other_Graphs/,88,103,2705473,75,1
data/wico-graph/Other_Graphs/,32,88,37122,1,1
data/wico-graph/Other_Graphs/,35,41,72754,26,0
data/wico-graph/Other_Graphs/,95,109,4976809,77,1
data/wico-graph/Other_Graphs/,94,233,2131706,70,1
data/wico-graph/Other_Graphs/,99,114,3225723,83,0
data/wico-graph/Other_Graphs/,94,353,636460,29,2
data/wico-graph/Other_Graphs/,29,71,83828,2,2
data/wico-graph/Other_Graphs/,34,50,1152638,20,0
data/wico-graph/Other_Graphs/,95,397,13574124,40,1
data/wico-graph/Other_Graphs/,92,88,723063,79,0
data/wico-graph/Other_Graphs/,96,236,3213147,61,2
data/wico-graph/Other_Graphs/,6,8,423736,3,1
data/wico-graph/Other_Graphs/,92,84,319100,67,1
data/wico-graph/Other_Graphs/,94,392,16775860,41,1
data/wico-graph/Other_Graphs/,95,333,770033,33,0
data/wico-graph/Other_Graphs/,93,125,5878435,79,3
data/wico-graph/Other_Graphs/,54,51,2954680,51,1
data/wico-graph/Other_Graphs/,22,39,2433605,4,1
data/wico-graph/Other_Graphs/,94,237,6253495,30,1
data/wico-graph/Other_Graphs/,7,16,81548,3,1
data/wico-graph/Other_Graphs/,95,129,1718068,72,1
data/wico-graph/Other_Graphs/,96,727,282045,7,3
data/wico-graph/Other_Graphs/,90,132,4616290,57,1
data/wico-graph/Other_Graphs/,7,24,33469,1,1
data/wico-graph/Other_Graphs/,91,126,2327094,67,0
data/wico-graph/Other_Graphs/,26,111,3516613,9,0
data/wico-graph/Other_Graphs/,94,103,2817926,78,0
data/wico-graph/Other_Graphs/,91,242,12307491,43,2
data/wico-graph/Other_Graphs/,20,99,55356267,2,1
data/wico-graph/Other_Graphs/,6,3,661428,5,0
data/wico-graph/Other_Graphs/,36,41,456628,31,1
data/wico-graph/Other_Graphs/,59,275,117243,18,1
data/wico-graph/Other_Graphs/,93,215,12833153,12,1
data/wico-graph/Other_Graphs/,14,22,5867660,7,2
data/wico-graph/Other_Graphs/,6,0,530292,6,0
data/wico-graph/Other_Graphs/,88,19,1831073,82,0
data/wico-graph/Other_Graphs/,7,6,87514,6,0
data/wico-graph/Other_Graphs/,20,35,39019,11,2
data/wico-graph/Other_Graphs/,69,59,647239,47,0
data/wico-graph/Other_Graphs/,29,98,1129737,9,0
data/wico-graph/Other_Graphs/,100,1418,267085,10,1
data/wico-graph/Other_Graphs/,10,14,22635485,7,1
data/wico-graph/Other_Graphs/,45,90,8811282,24,2
data/wico-graph/Other_Graphs/,88,373,809718,20,0
data/wico-graph/Other_Graphs/,93,333,139602,40,1
data/wico-graph/Other_Graphs/,97,123,4304856,75,0
data/wico-graph/Other_Graphs/,98,246,8778367,23,0
data/wico-graph/Other_Graphs/,88,132,606519,66,1
data/wico-graph/Other_Graphs/,86,78,3242444,70,0
data/wico-graph/Other_Graphs/,79,25,585060,71,1
data/wico-graph/Other_Graphs/,91,240,9528820,31,5
data/wico-graph/Other_Graphs/,87,372,190465,31,1
data/wico-graph/Other_Graphs/,10,16,44488,3,1
data/wico-graph/Other_Graphs/,92,322,4879303,36,1
data/wico-graph/Other_Graphs/,99,236,307349,49,0
data/wico-graph/Other_Graphs/,65,86,210778,44,3
data/wico-graph/Other_Graphs/,94,173,3886084,43,0
data/wico-graph/Other_Graphs/,93,370,923681,21,1
data/wico-graph/Other_Graphs/,93,317,7377247,36,0
data/wico-graph/Other_Graphs/,12,15,1789942,10,1
data/wico-graph/Other_Graphs/,98,242,6798651,42,1
data/wico-graph/Other_Graphs/,51,16,4525806,44,0
data/wico-graph/Other_Graphs/,9,9,56505,7,2
data/wico-graph/Other_Graphs/,83,403,31877508,17,1
data/wico-graph/Other_Graphs/,98,795,2282483,9,0
data/wico-graph/Other_Graphs/,6,6,9695,5,1
data/wico-graph/Other_Graphs/,24,30,199887,21,1
data/wico-graph/Other_Graphs/,5,6,38074,2,1
data/wico-graph/Other_Graphs/,68,84,507453,64,2
data/wico-graph/Other_Graphs/,97,159,406888,53,3
data/wico-graph/Other_Graphs/,5,6,887416,3,0
data/wico-graph/Other_Graphs/,86,461,388502,18,1
data/wico-graph/Other_Graphs/,95,190,1105074,72,1
data/wico-graph/Other_Graphs/,90,401,9300678,26,1
data/wico-graph/Other_Graphs/,96,469,419455,14,0
data/wico-graph/Other_Graphs/,92,178,9524102,58,1
data/wico-graph/Other_Graphs/,92,619,176413,15,1
data/wico-graph/Other_Graphs/,94,45,8068748,85,0
data/wico-graph/Other_Graphs/,96,284,598906,49,1
data/wico-graph/Other_Graphs/,8,1,1388213,8,0
data/wico-graph/Other_Graphs/,19,21,1155124,10,0
data/wico-graph/Other_Graphs/,93,56,13931038,75,0
data/wico-graph/Other_Graphs/,39,179,73206,8,2
data/wico-graph/Other_Graphs/,21,57,4175333,6,0
data/wico-graph/Other_Graphs/,22,49,376856,13,1
data/wico-graph/Other_Graphs/,20,103,92148,2,1
data/wico-graph/Other_Graphs/,27,3,657410,26,0
data/wico-graph/Other_Graphs/,99,626,195579,8,1
data/wico-graph/Other_Graphs/,99,696,172429,13,2
data/wico-graph/Other_Graphs/,21,48,35248,5,1
data/wico-graph/Other_Graphs/,91,93,10644163,71,1
data/wico-graph/Other_Graphs/,20,35,823419,12,1
data/wico-graph/Other_Graphs/,6,16,24246503,2,1
data/wico-graph/Other_Graphs/,94,110,8859629,66,1
data/wico-graph/Other_Graphs/,88,68,998311,86,1
data/wico-graph/Other_Graphs/,46,9,671995,43,0
data/wico-graph/Other_Graphs/,94,349,111545,27,0
data/wico-graph/Other_Graphs/,98,407,273842,8,1
data/wico-graph/Other_Graphs/,93,164,10934104,58,1
data/wico-graph/Other_Graphs/,94,88,900616,82,1
data/wico-graph/Other_Graphs/,73,253,8449221,30,1
data/wico-graph/Other_Graphs/,23,57,21764,9,1
data/wico-graph/Other_Graphs/,92,165,2181089,58,1
data/wico-graph/Other_Graphs/,83,89,839717,76,1
data/wico-graph/Other_Graphs/,17,31,1575140,4,0
data/wico-graph/Other_Graphs/,97,408,1358512,25,0
data/wico-graph/Other_Graphs/,90,339,1053002,24,0
data/wico-graph/Other_Graphs/,89,307,6674879,31,0
data/wico-graph/Other_Graphs/,36,154,1108060,10,1
data/wico-graph/Other_Graphs/,27,28,65457,26,1
data/wico-graph/Other_Graphs/,80,57,5440772,76,1
data/wico-graph/Other_Graphs/,87,106,373706,68,2
data/wico-graph/Other_Graphs/,14,30,87659,5,1
data/wico-graph/Other_Graphs/,90,103,354538,76,1
data/wico-graph/Other_Graphs/,53,74,2630258,44,0
data/wico-graph/Other_Graphs/,87,86,1736847,81,1
data/wico-graph/Other_Graphs/,92,73,8295518,71,0
data/wico-graph/Other_Graphs/,94,106,1432404,77,0
data/wico-graph/Other_Graphs/,12,30,192399,2,2
data/wico-graph/Other_Graphs/,99,1840,3315317,7,1
data/wico-graph/Other_Graphs/,89,153,915171,55,0
data/wico-graph/Other_Graphs/,33,101,374071,15,1
data/wico-graph/Other_Graphs/,94,101,704124,58,2
data/wico-graph/Other_Graphs/,14,56,57879,2,2
data/wico-graph/Other_Graphs/,90,154,895484,64,0
data/wico-graph/Other_Graphs/,16,16,462510,8,0
data/wico-graph/Other_Graphs/,4,4,13756983,2,0
data/wico-graph/Other_Graphs/,90,177,561309,48,2
data/wico-graph/Other_Graphs/,19,4,835209,19,0
data/wico-graph/Other_Graphs/,83,64,8702494,74,2
data/wico-graph/Other_Graphs/,8,15,4399,2,1
data/wico-graph/Other_Graphs/,98,232,60281078,45,0
data/wico-graph/Other_Graphs/,67,513,1256881,19,2
data/wico-graph/Other_Graphs/,92,161,3244106,41,2
data/wico-graph/Other_Graphs/,89,471,16126623,31,1
data/wico-graph/Other_Graphs/,10,9,30392,10,1
data/wico-graph/Other_Graphs/,92,266,1497568,35,0
data/wico-graph/Other_Graphs/,72,192,269854,33,1
data/wico-graph/Other_Graphs/,86,87,7057246,66,3
data/wico-graph/Other_Graphs/,30,62,695653,24,1
data/wico-graph/Other_Graphs/,80,1331,700332,4,1
data/wico-graph/Other_Graphs/,95,246,2319607,33,1
data/wico-graph/Other_Graphs/,92,189,574502,48,1
data/wico-graph/Other_Graphs/,89,121,3993254,71,1
